Vectors,Accent
"[-2.6207135e+02  1.0340501e+02  1.2674357e+01  3.3375668e+01
  1.6510799e+01  5.2576804e+00 -5.9591269e+00  5.6274190e+00
 -1.3636049e+01  5.0838131e-01 -7.0773964e+00 -1.8243937e+00
 -9.3465862e+00  3.5044758e+00 -5.9606380e+00 -4.5942497e+00
 -4.3258624e+00  1.1531072e+00 -5.6149998e+00 -6.8228847e-01
 -2.1697345e+00 -3.7792137e+00 -4.4892654e+00  1.6653459e-01
 -1.0120521e+00  2.1717737e+00 -1.1603183e+00  3.8398769e+00
  4.2559142e+00  5.2030292e+00  5.7429576e+00  6.8019309e+00
  8.1168795e+00  4.7329926e+00  2.8789244e+00  7.7039129e-01
  3.9473317e+00  4.7978410e-03 -8.0938220e-01  2.2605386e+00]",mandarin
"[-2.6621951e+02  8.3981781e+01  7.1737885e+00  4.1349934e+01
  1.7894642e+01  1.1237135e+01 -9.2850327e-01  9.5411263e+00
 -1.0720953e+01  1.6707794e+01 -1.9913615e+00  1.0360796e+01
  3.4375346e+00  8.9871855e+00 -2.8766441e+00  1.4150519e+01
 -5.7160687e+00  1.0461258e+01  6.6848290e-01  2.4648786e+00
 -3.9319816e+00  7.6348739e+00  3.0245154e+00  2.1724348e+00
 -4.2183981e+00 -1.5678585e+00 -6.5980375e-01  5.0154862e+00
 -1.9420152e+00  3.9443810e+00  1.4963038e+00  2.4368818e+00
 -1.5696965e+00 -2.1945669e-01  2.6383848e+00 -1.2991241e+00
  9.0978247e-01  2.8847315e+00 -8.9443779e-01  2.0283527e+00]",mandarin
"[-3.24160492e+02  1.04032906e+02  3.61303282e+00  3.06399784e+01
 -1.32677279e+01  1.00043440e+00 -2.05841846e+01  2.15655828e+00
 -2.51207399e+00  3.87456727e+00  8.89959186e-02 -6.53903484e+00
  4.74803239e-01 -4.49069405e+00 -5.34196997e+00 -7.25179005e+00
  2.31840682e+00 -8.80386543e+00 -3.72460103e+00 -7.63008690e+00
 -2.63852477e+00  2.81610966e+00 -1.76209199e+00 -1.38497846e-02
 -7.36937237e+00 -2.70635128e+00 -4.86156559e+00 -6.65072978e-01
 -2.04351759e+00 -4.44743681e+00  7.88725793e-01 -2.59889913e+00
  5.63473105e-01  2.48481941e+00  1.06264627e+00  1.99276340e+00
  1.56544805e+00  4.12021446e+00  3.87558651e+00 -4.05598909e-01]",mandarin
"[-2.9670871e+02  1.0727797e+02  9.5757313e+00  4.0041893e+01
  1.6724014e+01  1.4227614e+01  7.4533901e+00  3.0022824e+00
 -2.3850943e+01 -2.2743475e+00 -5.0531912e+00 -9.1608906e-01
 -3.3068204e+00  3.7361109e+00 -7.3187393e-01  8.2827377e+00
 -5.8607831e+00 -2.7125490e+00 -2.7472298e+00 -3.9285243e+00
 -9.7300386e+00 -2.7493486e+00 -6.7906111e-01 -3.1637294e+00
 -2.8245573e+00  1.6338319e+00 -3.9814410e+00 -3.6660841e+00
 -8.8039821e-01  3.3395305e-02 -1.7392957e+00 -7.6653993e-01
  1.6262276e+00 -9.5491326e-01 -1.6921115e+00 -1.2756820e+00
 -1.4673170e+00 -1.2300801e+00 -3.7507999e+00 -3.6535432e+00]",mandarin
"[-2.6542419e+02  1.0513989e+02  5.5889285e-01  1.9527306e+01
  1.2817880e+00 -2.7546809e+00 -1.6706799e+01 -6.8266902e+00
 -1.9834171e+01 -1.1987504e+00 -8.1689339e+00  7.4611740e+00
 -8.3054037e+00 -1.2826395e-01 -6.4177313e+00 -2.5803369e-01
 -1.3167975e+01 -3.3659620e+00 -1.1630075e+01  7.7965128e-01
  3.7796175e+00  3.9356711e+00 -6.9010029e+00  3.0282242e+00
  6.7665213e-01 -2.9858088e+00 -2.7721481e+00 -1.7441311e-01
 -3.6178508e+00 -2.1410379e+00 -1.2014743e+00 -2.5882545e+00
 -2.1343350e+00 -1.4862345e+00  8.0695575e-01 -1.4073378e+00
  7.3349118e-01  1.5825847e+00  1.9045205e+00  4.4583998e+00]",mandarin
"[-3.2014514e+02  8.7206871e+01 -1.1844902e+01  2.0146353e+01
 -1.8716763e+01  7.6724782e+00 -2.7325031e+01 -3.9635949e+00
 -1.0525041e+01 -1.8337799e+01 -5.6303954e+00 -9.1342688e+00
 -1.6714246e+00 -1.0910055e+01 -4.0504789e+00 -8.0073290e+00
 -4.0935431e+00  5.4769415e-01 -1.9765712e+00 -4.0773325e+00
 -6.1021123e+00 -8.2823792e+00 -9.2357597e+00 -2.4222629e+00
 -7.6146030e-01 -2.1999407e-01 -3.5263608e+00 -3.6320958e+00
  1.8226005e+00  2.5475407e+00  7.4819848e-02 -4.1940236e+00
 -5.5479956e+00 -3.5093236e-01 -2.9260691e-03 -3.0074832e+00
 -5.2440176e+00 -9.2136025e-01  3.2388787e+00 -6.7167872e-01]",mandarin
"[-3.7377887e+02  1.0468716e+02  2.9804933e+00  3.0733912e+00
 -7.5280638e+00 -2.2774181e+01 -1.7397594e+01 -1.1581425e+01
 -1.2423265e+01 -1.1415277e+01 -7.7850857e+00 -8.1490631e+00
 -9.1818085e+00 -6.4618249e+00 -3.2504117e+00 -1.6213784e+00
 -2.6503876e-01  2.1925947e-01  5.7636821e-01 -1.8168972e-01
 -5.2727687e-01 -2.6180193e+00 -2.1970408e+00  2.1065850e+00
 -4.7772231e+00 -1.0155487e+01  6.9620687e-01  3.7404723e+00
 -5.6171026e+00 -5.0271072e+00  1.4991814e+00  9.3652725e-01
 -3.3704937e+00 -4.0022998e+00  2.3462167e+00  6.2009907e+00
  2.1542890e+00  9.6257311e-01  1.5937765e+00 -6.6185641e-01]",mandarin
"[-2.4193346e+02  5.7950653e+01 -9.3650312e+00  2.9314295e+01
 -2.9597756e-01  8.1773453e+00 -4.2480950e+00 -2.6433537e+00
 -5.3133707e+00  5.5470037e+00 -5.8914618e+00 -2.8622837e+00
 -1.4177634e+00  1.6920849e+00 -4.0326638e+00  4.9686937e+00
 -5.4628935e+00  1.4287145e+00  2.5305514e+00 -1.3985226e+00
 -8.1983894e-01  6.8273610e-01 -7.9043396e-02 -1.0770786e+00
 -3.7513208e+00 -6.7320555e-01 -3.9799974e+00 -1.9831848e+00
 -4.0262980e+00 -1.9987627e+00 -2.6671643e+00 -9.6943986e-01
 -1.4599551e+00 -5.7725644e-01 -1.1704177e+00 -3.9509514e-01
 -1.5625333e+00 -5.5197275e-01 -1.4938750e+00 -2.4903345e+00]",mandarin
"[-2.34017456e+02  1.06853355e+02  3.89840722e+00  5.48217392e+01
 -8.49541092e+00  2.69957314e+01 -9.10547543e+00  9.65285969e+00
  4.47899199e+00 -2.35902324e-01  4.32900858e+00 -6.40452909e+00
  2.86286330e+00  1.38608515e+00  2.14369750e+00 -8.42840672e-02
 -2.82080078e+00  3.35651326e+00 -7.36141145e-01 -2.00174904e+00
 -3.45865697e-01 -6.32441044e-01 -3.97309303e+00  2.32769585e+00
  4.83243674e-01 -9.94072668e-03 -2.65866995e+00  1.07607472e+00
  2.62359262e-01  1.71617544e+00  3.58190328e-01 -8.06336105e-01
  7.75240242e-01 -7.94598535e-02 -5.48841417e-01  3.90412927e-01
 -1.55260348e+00 -5.65794706e-01 -6.02076888e-01 -5.27240276e-01]",mandarin
"[-2.3747508e+02  6.6290764e+01 -3.0215387e+00  2.3132614e+01
 -1.4323825e+01 -1.5860772e+00 -9.0415745e+00 -1.9172813e-01
 -9.0286798e+00 -5.9538717e+00 -1.4516712e+01  9.1435080e+00
 -8.7739439e+00 -7.6875025e-01 -1.1341570e+01  7.7647321e-02
 -9.9505854e+00  1.3558177e+00 -2.0540751e+01  4.1142562e-01
 -1.4620629e+01 -3.8268423e+00 -4.1567459e+00 -1.6678194e+00
 -3.6414614e+00 -7.6031363e-01 -3.4554071e+00  7.5215632e-01
  8.6969689e-02  2.0991638e+00 -1.1029398e+00  3.4716561e+00
  1.9630893e+00 -9.7260803e-01 -3.8063589e-01  1.4860041e-01
 -2.6022327e+00 -2.0694025e+00 -4.0486188e+00 -3.1475177e+00]",mandarin
